LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
nya yang pertama, kedua, dan seterusnya sampai lima kali? Itu sebabnya Ayah	ceritakan	, kalau tidak berbakat untuk berbohong, jangan kau coba-coba berbohong. Kau	Biografi				
ing. Lalu saya dilayani oleh customer service yang bernama Rifki. Lalu saya	ceritakan	permasalahannya lalu dia bilang kalau jaringan internet saya nyangkut di p	Koran				
rang adalah pepatah konyol kuli-kuli Meksiko yang patah arang dengan nasib:	ceritakan	mimpimu, agar Tuhan bisa tertawa.	Novel				
akan kupukul kau habis-habisan. Sebab kisah peperangan yang saban hari kau	ceritakan	pada Digta membuat anak kita itu tumbuh dengan terobsesi menjadi tentara.	Cerpen	kau	pronomina	TRUE	
, petugas sibuk menelepon seseorang dan menceritakan apa yang baru saja aku	ceritakan	.	Cerpen	aku	pronomina	TRUE	
dibakar para prajurit Pajang. Padahal banyak rahasia yang pernah Den Bagus	ceritakan	.	Cerpen	Den Bagus	nomina_diri	TRUE	
mereka di perusahaan. Mereka mengikuti setiap perkembangan dan selalu saya	ceritakan	kalau saya mengunjungi mereka di Sydney. Apa saja fasilitas pabrik yang be	Biografi				
Saya	ceritakan	semua yang saya tahu tentang pisang. Induk pisang, anak pisang, pakaian pi	Cerpen				
sedang menjalankan ibadah umrah bersama Pak Ibrahim Risjad (almarhum). Saya	ceritakan	kepada Joefli apa yang saya lihat sendiri di Meulaboh, dan kondisi terakhi	Biografi				
r mandi sendiri dan harus mengantre dengan tetangga lainnya. Itu semua saya	ceritakan	.	Biografi	saya	pronomina	FALSE	
Dia	ceritakan	"malam pertamanya?"""" Pirin menggeser posisi duduk."	Cerpen				
.. (apa yang telah kami	ceritakan	itu), itulah yang benar, yang datang dari Tuhanmu, karena itu janganlah ka	Buku_Teks	kami	pronomina	TRUE	
Inilah yang saya mau	ceritakan	. Di kalangan para pembaca pertandaan halus duniawi, ada kepercayaan bahwa	Novel	saya	pronomina	TRUE	
Kesultanan Usmaniyah yang menghukum cambuk rakyatnya yang peminum kopi. Kau	ceritakan	itu lagi, tentang Raja Gustaff II di Swedia yang menentukan benar salahnya	Cerpen				
da bagian dari kitab itu yang saya tulis. Sebagian lainnya pernah pula saya	ceritakan	kepada kalian. Bagian demi bagian itu belum tersusun runtut, belum pula me	Cerpen	saya	pronomina	FALSE	
ku tersadar. Itu perempuan yang Ayah	ceritakan	. Sebelum aku sempat membalikkan badan untuk meninggalkan taman itu, ia ber	Buku_Teks	ayah	nomina_kerabat	TRUE	
si api unggun, di depan semua saya	ceritakan	pengalaman siang sebelumnya. Bertemu dengan seorang bapak yang tengah mere	Biografi				
akan kami	ceritakan	apa yang kami saksikan pada malam ketika api menghanguskan sebuah rumah. K	Cerpen				
onner, setiap penny poundsterling itu sangat berharga. Banyak yang akan dia	ceritakan	, dan belum semua rasa rindu terbayarkan, tapi tanda-tanda koin terakhir da	Biografi	dia	pronomina	TRUE	
Kami semua bungkam ketika tangis Nek Raudah pecah. Tersedu-sedan Nek Raudah	ceritakan	, bapak ibunya raib entah ke mana setelah ditangkap, bahkan hingga saat ini	Cerpen				
