ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
357	ber+dengus<n>_VSA	dengus	body-actions-others	n	1
1821	ber+takwa<n>_VSA	takwa	cognition-middle	n	106
252	ber+buru<v>_VSADASHmeN+ramu<v>_VSA	buru	reciprocal-chaining	v	1
492	ber+gandeng<v>_VSA	gandeng	reciprocal-naturally-reciprocal-events	v	14
682	ber+ilmu<n>_VSA	ilmu	reflexive-indirect-middle	n	77
1592	ber+sandar<n>_VSA	sandar	positionals	n	256
1559	ber+sabar<a>_VSA	sabar	emotion-middle-1-participant	a	161
712	ber+intelektual<a>_VSA	intelektual	cognition-middle	a	1
1546	ber+rona<n>_VSA	rona	spontaneous-inanimate-state/activity-VISUAL	n	1
222	ber+bisa<n>_VSA	bisa	reflexive-indirect	n	31
111	ber+audiensi<n>_VSA	audiensi	reciprocal-naturally-reciprocal-events	n	8
1778	ber+suami<n>_VSA	suami	reflexive-indirect-middle	n	28
209	ber+bicara<v>_VSA	bicara	emotion-middle-speech-action	v	3054
559	ber+gerisik<n>_VSA	gerisik	spontaneous-inanimate-state/activity-AUDITORY	n	3
1274	ber+padu<a>_VSA	padu	reciprocal-naturally-reciprocal-events	a	56
713	ber+interaksi<n>_VSA	interaksi	reciprocal-naturally-reciprocal-events	n	865
8	ber+adab<n>_VSA	adab	cognition-middle	n	187
1190	ber+migrasi<n>_VSA	migrasi	reciprocal-collective-group-actions	n	45
402	ber+domisili<n>_VSA	domisili	positionals	n	142
1213	ber+mukim<v>_VSA	mukim	positionals	v	153
1116	ber+liur<n>_VSA	liur	reflexive-indirect	n	4
1226	ber+nafsu<n>_VSA	nafsu	emotion-middle-desiderative	n	43
81	ber+api<n>_VSA	api	spontaneous-events-inanimate-being-psychochemical-change	n	179
722	ber+irama<n>_VSA	irama	spontaneous-inanimate-state/activity-AUDITORY	n	74
2003	ber+ujung<n>_VSA	ujung	positionals	n	372
1297	ber+parfum<n>_VSA	parfum	grooming	n	2
607	ber+hadap<v>_VSA	hadap	reciprocal-naturally-reciprocal-events	v	9
232	ber+buah<n>_VSA	buah	spontaneous-events-animate-being	n	180
277	ber+cekcok<n>_VSA	cekcok	emotion-middle-speech-action	n	2
1448	ber+profesi<n>_VSA	profesi	reflexive-indirect-middle	n	121
194	ber+belit<v>_VSA	belit	emotion-middle-speech-action	v	32
1974	ber+tuhan<n>_VSA	tuhan	reflexive-indirect-middle	n	21
971	ber+konsolidasi<n>_VSA	konsolidasi	reciprocal-collective-group-actions	n	15
347	ber+degup<n>_VSA	degup	non-trans-mot-contained	n	73
2037	ber+valensi<n>_VSA	valensi	reflexive-indirect-middle	n	2
1302	ber+partai<n>_VSA	partai	reciprocal-collective-group-actions	n	10
1132	ber+lumpur<n>_VSA	lumpur	grooming	n	72
1082	ber+lega<a>_VSA	lega	emotion-middle-1-participant	a	1
825	ber+karat<n>_VSA	karat	spontaneous-events-inanimate-being-psychochemical-change	n	61
1007	ber+kromosom<n>_VSA	kromosom	spontaneous-events-animate-being	n	1
996	ber+koresponden<n>_VSA	koresponden	reciprocal-naturally-reciprocal-events	n	1
1216	ber+mulut<n>_VSA	mulut	reflexive-indirect	n	21
1159	ber+martabat<n>_VSA	martabat	cognition-middle	n	182
392	ber+diploma<n>_VSA	diploma	reflexive-indirect-middle	n	4
1246	ber+nutrisi<n>_VSA	nutrisi	reflexive-indirect-middle	n	6
1993	ber+uang<n>_VSA	uang	reflexive-indirect-middle	n	107
508	ber+gelar<n>_VSA	gelar	reflexive-indirect-middle	n	92
673	ber+iga<n>_VSA	iga	reflexive-indirect	n	1
